name	split
CCMSLIB00006692286	train
nist_1871077	val
nist_3007667	train
nist_1648318	test
CCMSLIB00006688323	train
nist_1392671	train
nist_1532658	train
nist_3437709	train
nist_1876304	train
nist_3361601	train
CCMSLIB00004713105	train
CCMSLIB00000854121	train
nist_3405981	train
CCMSLIB00000080348	train
nist_1845779	train
nist_1548711	test
nist_1676567	train
nist_3184469	val
CCMSLIB00000080216	train
nist_1780512	train
CCMSLIB00006698813	val
CCMSLIB00000080417	train
nist_1276075	train
nist_3440193	val
CCMSLIB00006698032	train
washington_0812	train
CCMSLIB00000079925	train
nist_1397247	val
nist_3463134	train
nist_1900846	train
nist_1784019	train
nist_1661705	train
CCMSLIB00000853328	train
CCMSLIB00006703638	val
nist_3433348	train
nist_1799477	train
nist_1186610	train
nist_1673912	val
CCMSLIB00006698632	train
nist_3343067	train
CCMSLIB00003134728	train
CCMSLIB00003138597	train
nist_1687420	train
nist_3139703	train
nist_1364540	train
nist_1787784	train
nist_1316761	test
nist_1795655	train
nist_1519341	val
nist_1657705	train
nist_1434949	train
nist_3308434	train
CCMSLIB00003137614	train
nist_1337655	test
nist_3402364	train
PR300491	train
nist_1764940	train
nist_3176544	train
nist_3390415	test
nist_3465504	train
mona_2743	train
nist_1863179	train
nist_3027490	val
nist_1428021	train
nist_3187573	train
nist_3330366	train
nist_1354528	train
nist_1402395	train
nist_1440639	train
nist_1768196	train
nist_3075124	train
nist_3053562	train
nist_1413815	train
nist_1973294	train
nist_1954375	test
nist_1221011	train
CCMSLIB00000853902	train
nist_1150702	train
nist_1667229	train
CCMSLIB00000079717	train
nist_1343969	train
nist_1817262	test
nist_3162699	train
nist_1334382	train
nist_1805087	train
nist_1303691	train
CCMSLIB00006704457	train
nist_3175431	train
nist_3135271	train
nist_1436698	train
nist_3452965	train
nist_1452996	train
nist_1891974	test
CCMSLIB00000848379	train
nist_1560211	train
CCMSLIB00006695798	train
nist_1655627	train
nist_1469368	train
nist_3447604	train
nist_1180071	test
CCMSLIB00000855972	train
nist_3459762	train
CCMSLIB00006697685	train
nist_1524294	train
CCMSLIB00001058996	test
nist_1326325	train
nist_1416090	train
nist_3152784	val
nist_3182488	train
nist_1269874	test
nist_3388356	train
mona_1355	train
mona_1412	train
nist_3439493	train
nist_1443543	train
nist_3327609	train
nist_3292268	train
nist_3326782	test
nist_1676620	test
nist_3223500	train
CCMSLIB00000848003	train
