name	split
AC000006	train
AC000076	train
AC000115	train
AC000135	test
AC000165	train
AC000248	test
AC000392	train
AC000520	train
AC000540	train
AC000583	train
AC000592	train
AC000610	train
AC000695	train
AC000747	train
AC000776	train
AC000781	train
AC000814	test
AC000819	train
AC000827	test
AC000916	train
BML01672	train
CCMSLIB00000001547	train
CCMSLIB00000001548	train
CCMSLIB00000001563	train
CCMSLIB00000001574	train
CCMSLIB00000001590	train
CCMSLIB00000001598	train
CCMSLIB00000001602	train
CCMSLIB00000001606	test
CCMSLIB00000001621	train
CCMSLIB00000001631	train
CCMSLIB00000001645	train
CCMSLIB00000001653	test
CCMSLIB00000001673	train
CCMSLIB00000004235	train
CCMSLIB00000004313	val
CCMSLIB00000004409	train
CCMSLIB00000004467	train
CCMSLIB00000004468	train
CCMSLIB00000004469	train
CCMSLIB00000004480	test
CCMSLIB00000004492	test
CCMSLIB00000004518	val
CCMSLIB00000004573	train
CCMSLIB00000004667	train
CCMSLIB00000004678	train
CCMSLIB00000004692	test
CCMSLIB00000004733	train
CCMSLIB00000004749	train
CCMSLIB00000004805	test
CCMSLIB00000004858	train
CCMSLIB00000004871	train
CCMSLIB00000004903	train
CCMSLIB00000004978	test
CCMSLIB00000004999	train
CCMSLIB00000005045	test
CCMSLIB00000005204	train
CCMSLIB00000005221	train
CCMSLIB00000005228	train
CCMSLIB00000005265	train
CCMSLIB00000005310	train
CCMSLIB00000005351	train
CCMSLIB00000005355	train
CCMSLIB00000005360	test
CCMSLIB00000005454	train
CCMSLIB00000005468	val
CCMSLIB00000005526	train
CCMSLIB00000005601	test
CCMSLIB00000005657	train
CCMSLIB00000005678	train
CCMSLIB00000005802	train
CCMSLIB00000005803	train
CCMSLIB00000005825	train
CCMSLIB00000005834	train
CCMSLIB00000005873	test
CCMSLIB00000005885	train
CCMSLIB00000005888	train
CCMSLIB00000005959	test
CCMSLIB00000006006	train
CCMSLIB00000006049	train
CCMSLIB00000006094	train
CCMSLIB00000006190	train
CCMSLIB00000006265	train
CCMSLIB00000006290	train
CCMSLIB00000006406	train
CCMSLIB00000006500	train
CCMSLIB00000006871	train
CCMSLIB00000006885	train
CCMSLIB00000006890	train
CCMSLIB00000006895	train
CCMSLIB00000007048	train
CCMSLIB00000007053	val
CCMSLIB00000007075	train
CCMSLIB00000007120	train
CCMSLIB00000007121	train
CCMSLIB00000007138	train
CCMSLIB00000068218	train
CCMSLIB00000068221	test
CCMSLIB00000068226	train
CCMSLIB00000068232	train
CCMSLIB00000070245	train
CCMSLIB00000070246	test
CCMSLIB00000070256	test
CCMSLIB00000070258	train
CCMSLIB00000070260	train
CCMSLIB00000070265	train
CCMSLIB00000070268	train
CCMSLIB00000070270	train
CCMSLIB00000070272	train
CCMSLIB00000070278	test
CCMSLIB00000070283	train
CCMSLIB00000070285	val
CCMSLIB00000070293	train
CCMSLIB00000070301	train
CCMSLIB00000071744	train
CCMSLIB00000071745	test
CCMSLIB00000072176	train
CCMSLIB00000072177	train
CCMSLIB00000072178	train
CCMSLIB00000072179	train
CCMSLIB00000072235	val
CCMSLIB00000072257	train
CCMSLIB00000072258	train
CCMSLIB00000072259	train
CCMSLIB00000072276	train
CCMSLIB00000072284	test
CCMSLIB00000072288	train
CCMSLIB00000072289	train
CCMSLIB00000072309	train
CCMSLIB00000072497	train
CCMSLIB00000072561	train
CCMSLIB00000074975	train
CCMSLIB00000075009	train
CCMSLIB00000075010	train
CCMSLIB00000075011	train
CCMSLIB00000075012	train
CCMSLIB00000075013	train
CCMSLIB00000075017	train
CCMSLIB00000075068	test
CCMSLIB00000075070	train
CCMSLIB00000075071	train
CCMSLIB00000075072	test
CCMSLIB00000075073	train
CCMSLIB00000075076	val
CCMSLIB00000075077	train
CCMSLIB00000075361	train
CCMSLIB00000075362	train
CCMSLIB00000076749	train
CCMSLIB00000076971	train
CCMSLIB00000076973	train
CCMSLIB00000076982	train
CCMSLIB00000076992	val
CCMSLIB00000076997	train
CCMSLIB00000077004	train
CCMSLIB00000077009	train
CCMSLIB00000077016	train
CCMSLIB00000077022	train
CCMSLIB00000077025	train
CCMSLIB00000077027	val
CCMSLIB00000077029	train
CCMSLIB00000077031	train
CCMSLIB00000077039	train
CCMSLIB00000077046	train
CCMSLIB00000077057	train
CCMSLIB00000077065	train
CCMSLIB00000077068	train
CCMSLIB00000077069	train
