name	split
AC000006	train
AC000076	train
AC000115	train
AC000135	exclude
AC000165	train
AC000248	train
AC000392	exclude
AC000520	exclude
AC000540	train
AC000583	test
AC000592	train
AC000610	train
AC000695	test
AC000747	train
AC000776	train
AC000781	train
AC000814	train
AC000819	exclude
AC000827	train
AC000916	train
BML01672	train
CCMSLIB00000001547	test
CCMSLIB00000001548	train
CCMSLIB00000001563	exclude
CCMSLIB00000001574	train
CCMSLIB00000001590	train
CCMSLIB00000001598	train
CCMSLIB00000001602	train
CCMSLIB00000001606	train
CCMSLIB00000001621	exclude
CCMSLIB00000001631	exclude
CCMSLIB00000001645	train
CCMSLIB00000001653	train
CCMSLIB00000001673	exclude
CCMSLIB00000004235	exclude
CCMSLIB00000004313	exclude
CCMSLIB00000004409	test
CCMSLIB00000004467	test
CCMSLIB00000004468	test
CCMSLIB00000004469	train
CCMSLIB00000004480	train
CCMSLIB00000004492	exclude
CCMSLIB00000004518	train
CCMSLIB00000004573	exclude
CCMSLIB00000004667	exclude
CCMSLIB00000004678	test
CCMSLIB00000004692	exclude
CCMSLIB00000004733	train
CCMSLIB00000004749	train
CCMSLIB00000004805	train
CCMSLIB00000004858	train
CCMSLIB00000004871	train
CCMSLIB00000004903	exclude
CCMSLIB00000004978	train
CCMSLIB00000004999	exclude
CCMSLIB00000005045	train
CCMSLIB00000005204	test
CCMSLIB00000005221	exclude
CCMSLIB00000005228	train
CCMSLIB00000005265	train
CCMSLIB00000005310	train
CCMSLIB00000005351	train
CCMSLIB00000005355	train
CCMSLIB00000005360	train
CCMSLIB00000005454	train
CCMSLIB00000005468	train
CCMSLIB00000005526	train
CCMSLIB00000005601	train
CCMSLIB00000005657	train
CCMSLIB00000005678	exclude
CCMSLIB00000005802	exclude
CCMSLIB00000005803	test
CCMSLIB00000005825	train
CCMSLIB00000005834	train
CCMSLIB00000005873	train
CCMSLIB00000005885	exclude
CCMSLIB00000005888	test
CCMSLIB00000005959	train
CCMSLIB00000006006	train
CCMSLIB00000006049	train
CCMSLIB00000006094	test
CCMSLIB00000006190	test
CCMSLIB00000006265	test
CCMSLIB00000006290	exclude
CCMSLIB00000006406	train
CCMSLIB00000006500	train
CCMSLIB00000006871	test
CCMSLIB00000006885	train
CCMSLIB00000006890	exclude
CCMSLIB00000006895	train
CCMSLIB00000007048	test
CCMSLIB00000007053	exclude
CCMSLIB00000007075	exclude
CCMSLIB00000007120	train
CCMSLIB00000007121	train
CCMSLIB00000007138	test
CCMSLIB00000068218	exclude
CCMSLIB00000068221	train
CCMSLIB00000068226	test
CCMSLIB00000068232	exclude
CCMSLIB00000070245	test
CCMSLIB00000070246	exclude
CCMSLIB00000070256	exclude
CCMSLIB00000070258	exclude
CCMSLIB00000070260	train
CCMSLIB00000070265	train
CCMSLIB00000070268	test
CCMSLIB00000070270	train
CCMSLIB00000070272	train
CCMSLIB00000070278	train
CCMSLIB00000070283	train
CCMSLIB00000070285	train
CCMSLIB00000070293	train
CCMSLIB00000070301	test
CCMSLIB00000071744	test
CCMSLIB00000071745	exclude
CCMSLIB00000072176	train
CCMSLIB00000072177	train
CCMSLIB00000072178	train
CCMSLIB00000072179	exclude
CCMSLIB00000072235	test
CCMSLIB00000072257	exclude
CCMSLIB00000072258	train
CCMSLIB00000072259	exclude
CCMSLIB00000072276	exclude
CCMSLIB00000072284	train
CCMSLIB00000072288	test
CCMSLIB00000072289	exclude
CCMSLIB00000072309	train
CCMSLIB00000072497	train
CCMSLIB00000072561	train
CCMSLIB00000074975	train
CCMSLIB00000075009	test
CCMSLIB00000075010	exclude
CCMSLIB00000075011	exclude
CCMSLIB00000075012	test
CCMSLIB00000075013	test
CCMSLIB00000075017	train
CCMSLIB00000075068	train
CCMSLIB00000075070	exclude
CCMSLIB00000075071	train
CCMSLIB00000075072	train
CCMSLIB00000075073	test
CCMSLIB00000075076	train
CCMSLIB00000075077	exclude
CCMSLIB00000075361	train
CCMSLIB00000075362	exclude
CCMSLIB00000076749	exclude
CCMSLIB00000076971	train
CCMSLIB00000076973	train
CCMSLIB00000076982	exclude
CCMSLIB00000076992	test
CCMSLIB00000076997	test
CCMSLIB00000077004	train
CCMSLIB00000077009	train
CCMSLIB00000077016	test
CCMSLIB00000077022	train
CCMSLIB00000077025	test
CCMSLIB00000077027	train
CCMSLIB00000077029	train
CCMSLIB00000077031	train
